Cluster,Segment,issue,low_score_text_reviews,issue_reviews,issue_rate
0,고평점 장기 미방문군,미수령,109,34,0.3119266055045872
0,고평점 장기 미방문군,부분배송_누락,109,8,0.07339449541284404
0,고평점 장기 미방문군,배송지연,109,7,0.06422018348623854
0,고평점 장기 미방문군,배송완료_오표시,109,0,0.0
0,고평점 장기 미방문군,오배송,109,0,0.0
0,고평점 장기 미방문군,파손_불량,109,1,0.009174311926605505
0,고평점 장기 미방문군,품질불만,109,2,0.01834862385321101
0,고평점 장기 미방문군,환불_CS,109,2,0.01834862385321101
1,저평점 장기 미방문군,미수령,9248,2405,0.2600562283737024
1,저평점 장기 미방문군,부분배송_누락,9248,868,0.09385813148788927
1,저평점 장기 미방문군,배송지연,9248,637,0.06887975778546712
1,저평점 장기 미방문군,배송완료_오표시,9248,163,0.017625432525951557
1,저평점 장기 미방문군,오배송,9248,185,0.020004325259515572
1,저평점 장기 미방문군,파손_불량,9248,546,0.059039792387543255
1,저평점 장기 미방문군,품질불만,9248,409,0.0442257785467128
1,저평점 장기 미방문군,환불_CS,9248,475,0.05136245674740485
2,최근 구매 고평점군,미수령,218,37,0.16972477064220184
2,최근 구매 고평점군,부분배송_누락,218,14,0.06422018348623854
2,최근 구매 고평점군,배송지연,218,6,0.027522935779816515
2,최근 구매 고평점군,배송완료_오표시,218,5,0.022935779816513763
2,최근 구매 고평점군,오배송,218,2,0.009174311926605505
2,최근 구매 고평점군,파손_불량,218,22,0.10091743119266056
2,최근 구매 고평점군,품질불만,218,11,0.05045871559633028
2,최근 구매 고평점군,환불_CS,218,15,0.06880733944954129
3,희소 다중 카테고리군,미수령,243,97,0.3991769547325103
3,희소 다중 카테고리군,부분배송_누락,243,66,0.2716049382716049
3,희소 다중 카테고리군,배송지연,243,4,0.01646090534979424
3,희소 다중 카테고리군,배송완료_오표시,243,18,0.07407407407407407
3,희소 다중 카테고리군,오배송,243,2,0.00823045267489712
3,희소 다중 카테고리군,파손_불량,243,5,0.0205761316872428
3,희소 다중 카테고리군,품질불만,243,3,0.012345679012345678
3,희소 다중 카테고리군,환불_CS,243,8,0.03292181069958848
